LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439306		143356	143351	47.9913640109	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439307		143364	136846	25.6657550605	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439308		136815	143364	29.0718591246	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439309		143364	143370	45.1370843644	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439310		143370	143376	16.7887060377	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439311		143376	143382	33.1765414159	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439312		143382	143383	7.82624710432	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439313		143383	143389	25.6102048346	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439314		36966	35214	51.6826906619	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439315		35214	112244	66.374589273	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439316		36966	36967	8.85499916935	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439317		36967	36968	3.75964401652	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439318		3378	36969	17.08283968	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439319	Одесская улица	90457	90456	85.2214796997	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439320		101435	101444	35.7738046238	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439321		93479	107	385.374654505	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439322		107	93483	24.4101922178	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439323		93483	93479	241.992081085	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439324		90518	90538	105.723105145	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439325		90541	90538	39.0048577627	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439326		90538	47006	177.001857533	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439327		6362	101559	43.7102268243	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
