node	x	y	z
4209	736991.793733	4783085.914335	0.000000
4210	737119.609718	4783154.416999	0.000000
4212	737256.219994	4783223.918382	0.000000
4219	738019.149733	4783462.889342	0.000000
4220	738118.305050	4783464.269161	0.000000
4229	736876.092456	4783201.475479	0.000000
4237	737249.398093	4783259.185343	0.000000
4238	737280.622981	4783265.211527	0.000000
4240	737416.927906	4783283.188569	0.000000
4242	737553.977098	4783319.930968	0.000000
4260	738376.913765	4783779.620378	0.000000
4264	738349.761898	4783757.085398	0.000000
4267	738370.326359	4783729.306164	0.000000
4270	738103.670296	4783501.241410	0.000000
4271	737532.733129	4783743.892695	0.000000
4349	733321.902846	4775539.567373	0.000000
4351	733178.794425	4775409.239438	0.000000
4355	733429.630097	4776169.097243	0.000000
4356	733269.331317	4776101.600198	0.000000
4357	733195.174990	4776030.526112	0.000000
4361	735262.958232	4778464.534683	0.000000
4366	735574.585492	4778676.362196	0.000000
4370	735830.744597	4778821.881699	0.000000
4379	736115.299683	4778848.328929	0.000000
4384	735753.186472	4778949.326571	0.000000
4394	732812.178487	4774965.144539	0.000000
4397	732773.888128	4774871.750997	0.000000
4399	732680.382187	4774722.825367	0.000000
4407	732560.397868	4774484.892776	0.000000
4411	732900.148275	4775043.578613	0.000000
4428	733438.025705	4775186.022236	0.000000
4429	733413.894383	4775155.397450	0.000000
4430	733030.584285	4775175.279041	0.000000
4432	732990.734410	4775054.433658	0.000000
4437	734931.381690	4778279.855248	0.000000
4438	735197.248561	4778063.285146	0.000000
4456	735722.973953	4778483.638065	0.000000
4457	735733.883956	4778451.280302	0.000000
4463	740014.724349	4776580.435881	0.000000
4466	739847.529714	4776674.918344	0.000000
4471	740321.164530	4777195.228186	0.000000
4472	740528.719730	4777491.499634	0.000000
4473	739530.276950	4778066.997791	0.000000
4475	739570.223275	4777984.803751	0.000000
4477	739686.621604	4777955.459985	0.000000
4482	740099.250286	4777979.360947	0.000000
4484	741473.779813	4776100.251000	0.000000
4487	741637.167192	4775949.692731	0.000000
4496	742284.302285	4776059.827545	0.000000
4506	742730.402908	4776322.583285	0.000000
4512	737633.169448	4775454.827788	0.000000
4513	737622.823336	4775362.131144	0.000000
4516	737701.833930	4775383.009446	0.000000
4536	737735.769600	4775998.544495	0.000000
4542	737784.263906	4778328.232082	0.000000
4546	737323.091673	4776242.016764	0.000000
4557	737100.177010	4776256.644120	0.000000
4562	737040.810130	4776228.560285	0.000000
4569	737874.900375	4776220.917200	0.000000
4585	742292.857674	4776237.329761	0.000000
4588	742738.430233	4776581.612137	0.000000
4604	742403.952060	4777207.592253	0.000000
4628	735740.117530	4777647.192166	0.000000
4642	735749.328754	4776091.645455	0.000000
4644	735815.959218	4776177.722328	0.000000
4645	735989.218745	4776043.903353	0.000000
4670	737191.441425	4775582.767481	0.000000
4671	739380.727265	4776172.611941	0.000000
4672	739357.104102	4776139.457575	0.000000
4675	739290.631435	4776047.710785	0.000000
4676	739283.241880	4776039.089435	0.000000
4677	739195.412157	4775728.926614	0.000000
4683	739294.291300	4775703.573683	0.000000
